unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
2315 DURANT AVE #305,n/a,n/a,<p>HOTEL - Transient housing since 5/31/2013</p>,"<p>Electricity, Furnishings, Garbage, Gas, Laundry Access, Other, Parking, Storage, Water</p>",-1,-1
2315 DURANT AVE #307,n/a,n/a,<p>HOTEL - Transient housing since 5/1/2007</p>,"<p>Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water</p>",-1,-1
2315 DURANT AVE #401,n/a,n/a,<p>HOTEL - Transient housing since 1/15/2000</p>,"<p>Electricity, Furnishings, Garbage, Gas, Laundry Access, Other, Parking, Storage, Water</p>",-1,-1
2315 DURANT AVE #402,1/1/2003,"$1,695.72",<p>RENTED - Rented or Available</p>,"<p>Electricity, Furnishings, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water</p>",1,2
2315 DURANT AVE #409,n/a,n/a,<p>HOTEL - Transient housing since 1/1/2016</p>,<p>Other</p>,-1,-1
2315 DURANT AVE #502,n/a,n/a,<p>HOTEL - Transient housing since 5/21/2006</p>,<p>Other</p>,-1,-1
2315 DURANT AVE #510,n/a,n/a,<p>HOTEL - Transient housing since 2/1/2007</p>,<p>Other</p>,-1,-1
2315 DURANT AVE #512,9/1/2001,"$2,034.10",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Laundry Access, Other, Parking, Storage, Water</p>",1,1
2315 DURANT AVE #601,n/a,n/a,<p>HOTEL - Transient housing since 12/30/2005</p>,"<p>Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water</p>",-1,-1
2315 DURANT AVE #602,1/1/2003,"$1,030.94",<p>RENTED - Rented or Available</p>,"<p>Electricity, Furnishings, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water</p>",0,2
1416 ADDISON ST,12/1/2010,"$1,472.88",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Storage</p>",1,2
1418 ADDISON ST,10/1/2008,"$1,845.57",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,2,3
1418 ADDISON ST #1/2,n/a,"$1,947.42",<p>RENTED - Rented or Available since 4/1/2000</p>,<p>(no active services)</p>,1,-1
