unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
2225 HEARST AVE #5,6/6/2015,"$1,431.94",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water</p>",0,1
2225 HEARST AVE #6,6/20/2015,"$1,223.66",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water</p>",0,1
2225 HEARST AVE #7,7/1/2015,"$1,327.80",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water</p>",0,1
2225 HEARST AVE #8,n/a,"$1,275.00",<p>RENTED - Rented or Available since 8/1/2015</p>,"<p>Appliances, Electricity, Gas, Heat, Laundry Access, Storage, Water</p>",0,-1
2225 HEARST AVE #9,6/1/2015,"$1,223.66",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water</p>",0,1
2136 MCGEE AVE,10/22/2013,"$1,912.04",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",2,2
2138 MCGEE AVE,2/1/2013,"$1,588.05",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",2,2
38 PANORAMIC WAY #A,n/a,n/a,<p>OOCC - Owner Occupied since 5/13/2016</p>,"<p>Electricity, Garbage, Gas, Water</p>",-1,-1
38 PANORAMIC WAY #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 3/2/2016</p>,"<p>Electricity, Gas</p>",-1,-1
38 PANORAMIC WAY #C,n/a,n/a,<p>OOCC - Owner Occupied since 3/2/2016</p>,"<p>Electricity, Garbage, Gas, Water</p>",-1,-1
2340 CARLETON ST,6/1/2017,"$5,800.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",4,4
2622 DANA ST,6/1/2017,"$6,000.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",4,7
2812 PIEDMONT AVE,4/1/2012,"$3,225.02",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,2
2812 PIEDMONT AVE #1/2,6/1/2005,"$1,748.34",<p>RENTED - Rented or Available</p>,"<p>Garbage, Storage</p>",1,1
2814 PIEDMONT AVE,n/a,n/a,<p>OOCC - Owner Occupied since 4/14/2001</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 8/15/2006</p>",<p>(no active services)</p>,-1,-1
2428 9TH ST,8/10/2013,"$3,859.86",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",4,4
2430 9TH ST #A,5/31/1980,"$1,012.24",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Storage, Water</p>",2,0
2430 9TH ST #B,2/15/2003,"$1,499.55",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,2
2430 9TH ST #C,7/7/2012,"$1,562.52",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,2
2422 ATHERTON ST,6/1/2015,"$2,082.83",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,2
2424 ATHERTON ST,8/12/2014,"$1,475.62",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",1,2
2215 HASTE ST,12/22/2011,"$1,282.42",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,2
2217 HASTE ST,6/1/2015,"$1,770.40",<p>RENTED - Rented or Available</p>,"<p>Garbage, Other, Water</p>",1,2
1931 BERRYMAN ST #101,7/1/2014,"$2,854.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",3,3
1931 BERRYMAN ST #102,n/a,$944.55,<p>RENTED - Rented or Available since 8/18/1994</p>,"<p>Garbage, Water</p>",2,-1
1931 BERRYMAN ST #201,9/9/2013,"$2,695.44",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",2,3
1931 BERRYMAN ST #202,3/1/2015,"$2,707.68",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",2,3
1931 BERRYMAN ST #203,n/a,$952.80,<p>RENTED - Rented or Available since 1/26/1982</p>,"<p>Garbage, Water</p>",2,-1
1931 BERRYMAN ST #301,3/5/2016,"$3,375.90",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",3,1
1931 BERRYMAN ST #302,n/a,"$1,356.04",<p>RENTED - Rented or Available since 6/1/1996</p>,"<p>Garbage, Water</p>",2,-1
1931 BERRYMAN ST #303,n/a,"$1,509.03",<p>RENTED - Rented or Available since 4/15/1995</p>,"<p>Garbage, Water</p>",4,-1
77 TAMALPAIS RD,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Other, Parking, Storage</p>",-1,-1
77 TAMALPAIS RD #A,n/a,$0.00,<p>RENTED - Rented or Available since 1/25/2013</p>,<p>(no active services)</p>,0,-1
2121 PARKER ST #LOWER,n/a,"$1,074.61",<p>RENTED - Rented or Available since 6/2/2017</p>,<p>(no active services)</p>,2,-1
2121 PARKER ST #UPPER,6/1/2016,"$2,148.30",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",3,2
2801 ELLSWORTH ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/2008</p>,"<p>Appliances, Garbage, Laundry Access, Other, Storage, Water</p>",-1,-1
2300 STUART ST,n/a,n/a,<p>OOCC - Owner Occupied since 11/1/1984</p>,<p>(no active services)</p>,-1,-1
1243 ALLSTON WAY,12/1/2016,"$2,245.49",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,1,2
1245 ALLSTON WAY,8/16/2016,"$3,785.10",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,4,3
2144 BONAR ST,5/14/2016,"$2,455.20",<p>RENTED - Rented or Available</p>,"<p>Electricity, Gas</p>",1,1
2146 BONAR ST,8/14/2015,"$2,082.83",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,1,2
2819 COLLEGE AVE,6/1/2002,"$3,790.09",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Water</p>",3,4
2821 COLLEGE AVE,n/a,n/a,<p>OOCC - Owner Occupied since 6/7/1996</p>,"<p>Garbage, Water</p>",-1,-1
2815 CALIFORNIA ST,8/1/2005,"$1,475.83",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",2,2
2815 CALIFORNIA ST #1/2,n/a,n/a,<p>NAR - Not Available for Rent since 7/1/1998</p>,<p>Garbage</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 4/23/1998</p>,<p>(no active services)</p>,-1,-1
3033 ELLIS ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 8/10/2015</p>,<p>(no active services)</p>,-1,-1
3033 ELLIS ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 8/10/2015</p>,<p>(no active services)</p>,-1,-1
2027 HEARST AVE #1,5/31/1980,"$2,223.26",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",4,0
2027 HEARST AVE #2,5/31/1980,"$1,735.81",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,0
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 7/1/1999</p>","<p>Garbage, Laundry Access, Parking, Storage</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 6/15/2001</p>",<p>Parking</p>,-1,-1
1403 MILVIA ST,n/a,n/a,<p>MISC - Exempt-Misc since 9/1/2002</p>,<p>(no active services)</p>,-1,-1
2000 ROSE ST,n/a,n/a,<p>MISC - Exempt-Misc since 9/1/2002</p>,<p>(no active services)</p>,-1,-1
1402 ACTON CRES,5/31/1980,$898.23,<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,0
1404 ACTON CRES,3/1/2010,"$1,501.21",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Storage, Water</p>",1,1
1404 ACTON CRES #B,8/15/2011,"$1,366.06",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Storage, Water</p>",1,1
2169 ACTON CRES,5/31/1980,"$1,041.05",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
1142 ALLSTON WAY,n/a,n/a,<p>NAR - Not Available for Rent since 5/1/2009</p>,<p>(no active services)</p>,-1,-1
1142 ALLSTON WAY #1/2,n/a,n/a,<p>NAR - Not Available for Rent since 8/1/2003</p>,"<p>Garbage, Water</p>",-1,-1
1144 ALLSTON WAY,1/1/1981,$577.73,<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Storage, Water</p>",2,0
1144 ALLSTON WAY #1/2,1/1/1981,$629.99,<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,0
1830 HEARST AVE,n/a,n/a,<p>(~) MISC - Exempt-Misc since 8/1/2009</p>,<p>Water</p>,-1,-1
1832 HEARST AVE,n/a,n/a,<p>OOCC - Owner Occupied since 3/24/2008</p>,<p>Water</p>,-1,-1
1214 CARRISON ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/5/2013</p>,"<p>Garbage, Water</p>",-1,-1
1216 CARRISON ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/5/2013</p>,"<p>Garbage, Water</p>",-1,-1
2239 DERBY ST,7/1/2013,"$1,536.40",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
2241 DERBY ST,7/27/2017,"$2,150.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
2243 DERBY ST,8/10/2012,"$1,617.34",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
2245 DERBY ST,9/26/2016,"$2,148.30",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,1
2247 DERBY ST,8/20/2016,"$2,378.48",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
2249 DERBY ST,6/23/2013,"$1,719.68",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
2251 DERBY ST,7/15/2013,"$1,536.40",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,1
2253 DERBY ST,8/15/2015,"$2,010.55",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
2701 MCGEE AVE,12/1/2009,"$1,711.39",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Storage, Water</p>",2,1
2703 MCGEE AVE,n/a,n/a,<p>OOCC - Owner Occupied since 4/5/2018</p>,<p>(no active services)</p>,-1,-1
1354 SCENIC AVE,5/31/1980,n/a,<p>(~) MISC - Exempt-Misc</p>,"<p>Electricity, Furnishings, Garbage, Gas, Storage, Water</p>",-1,-1
1356 SCENIC AVE,6/1/2016,"$2,046.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,2
1358 SCENIC AVE #A,11/20/2016,"$2,097.15",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,1
1358 SCENIC AVE #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 4/2/2002</p>,"<p>Furnishings, Garbage, Storage, Water</p>",-1,-1
1358 SCENIC AVE #C,3/3/2018,"$1,200.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",0,1
1358 SCENIC AVE #D,n/a,$947.71,<p>RENTED - Rented or Available since 4/18/1994</p>,"<p>Furnishings, Garbage, Storage, Water</p>",1,-1
1360 SCENIC AVE #A,6/1/2012,"$1,535.10",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,2
1360 SCENIC AVE #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 6/2/1999</p>,"<p>Electricity, Furnishings, Garbage, Storage, Water</p>",-1,-1
1362 SCENIC AVE,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/1987</p>,"<p>Electricity, Gas</p>",-1,-1
1364 SCENIC AVE,12/15/2017,"$2,100.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 5/1/1997</p>",<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 10/1/1997</p>","<p>Electricity, Furnishings, Garbage, Gas, Laundry Access, Water</p>",-1,-1
1431 CHANNING WAY,9/2/2011,$975.77,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",0,1
1433 CHANNING WAY,6/1/1997,$671.63,<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,0
1435 CHANNING WAY,10/26/2016,"$1,631.69",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",0,1
1437 CHANNING WAY,4/1/2013,$970.36,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Water</p>",0,1
2370 SACRAMENTO ST,2/18/2015,"$1,140.35",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Water</p>",0,1
2374 SACRAMENTO ST,10/1/2013,"$1,051.22",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,1
2378 SACRAMENTO ST,8/6/2010,"$1,076.34",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",0,1
2382 SACRAMENTO ST,4/23/2012,$986.86,<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,2
2386 SACRAMENTO ST,10/1/2017,"$1,650.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",0,1
2390 SACRAMENTO ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 8/1/2013</p>,"<p>Appliances, Garbage, Water</p>",-1,-1
2394 SACRAMENTO ST,2/16/2015,"$1,140.35",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,2
2398 SACRAMENTO ST,7/1/2012,$932.03,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",0,1
,n/a,n/a,<p>OOCC - Owner Occupied since 7/31/1990</p>,<p>(no active services)</p>,-1,-1
1726 PARKER ST #1,n/a,n/a,<p>OOCC - Owner Occupied since 10/25/2004</p>,<p>(no active services)</p>,-1,-1
1726 PARKER ST #2,n/a,n/a,<p>NAR - Not Available for Rent since 11/20/2016</p>,"<p>Appliances, Furnishings, Garbage, Laundry Access, Storage, Water</p>",-1,-1
1685 SACRAMENTO ST,2/22/2018,"$2,165.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Laundry Access</p>",1,1
1501 VIRGINIA ST,7/1/2014,"$3,699.63",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Storage</p>",3,5
12 PANORAMIC WAY,6/27/2015,"$4,009.44",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Storage, Water</p>",2,1
14 PANORAMIC WAY,8/5/2013,"$1,940.71",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,1
16 PANORAMIC WAY,8/1/2011,"$1,561.19",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,1
2319 PROSPECT ST,6/15/2014,"$1,685.98",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,1
2321 PROSPECT ST,3/9/2009,"$1,511.73",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,1
2323 PROSPECT ST,6/2/2014,"$1,897.38",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,2
2325 PROSPECT ST,6/15/2013,"$1,719.68",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,2
2327 PROSPECT ST,7/15/2017,"$1,975.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,2
2329 PROSPECT ST,8/22/2016,"$1,892.55",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
2331 PROSPECT ST,8/1/2011,"$1,505.45",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,1
2333 PROSPECT ST,5/31/1980,$799.92,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Sewer, Storage, Water</p>",1,0
2335 PROSPECT ST,7/20/2013,"$1,752.03",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Storage, Water</p>",1,2
2337 PROSPECT ST,11/1/2016,"$2,020.43",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",1,1
1404 Glendale Ave,n/a,n/a,<p>OOCC - Owner Occupied since 5/1/2015</p>,<p>(no active services)</p>,-1,-1
1404 Glendale Ave #COTTAGE,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 5/1/2015</p>,<p>(no active services)</p>,-1,-1
11 ACTON CIR,9/1/2016,"$1,994.85",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking</p>",1,1
7 ACTON CIR,n/a,n/a,<p>NAR - Not Available for Rent since 6/11/2007</p>,<p>Garbage</p>,-1,-1
9 ACTON CIR,n/a,n/a,<p>OOCC - Owner Occupied since 9/18/2007</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 1/1/1999</p>",<p>Water</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 1/10/1997</p>,<p>(no active services)</p>,-1,-1
1832 DELAWARE ST #DOWN,10/1/2007,"$4,574.29",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",4,2
1832 DELAWARE ST #UP-BK,n/a,n/a,<p>(~) MISC - Exempt-Misc since 11/7/2016</p>,<p>Garbage</p>,-1,-1
1832 DELAWARE ST #UP-FR,1/1/2015,"$1,666.26",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",1,1
,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,"<p>Parking, Storage</p>",-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 10/1/1998</p>,"<p>Garbage, Parking</p>",-1,-1
2401 VIRGINIA ST,3/1/2017,"$1,150.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
2403 VIRGINIA ST,5/31/1980,$889.75,<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,0
719 NEILSON ST,1/15/2017,"$3,400.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Furnishings, Garbage, Heat, Laundry Access, Other, Storage</p>",2,3
719 NEILSON ST #COTT,1/15/2017,"$3,400.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Furnishings, Garbage, Gas, Heat, Other, Storage, Water</p>",1,2
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 7/1/1999</p>",<p>(no active services)</p>,-1,-1
2141 ROSE ST #A,12/8/2017,"$2,700.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Storage, Water</p>",1,2
2141 ROSE ST #B,1/1/1987,$910.47,<p>RENTED - Rented or Available</p>,"<p>Furnishings, Garbage, Other, Storage, Water</p>",1,0
2143 ROSE ST,n/a,n/a,<p>OOCC - Owner Occupied since 3/8/1994</p>,"<p>Furnishings, Garbage, Storage, Water</p>",-1,-1
1633 ARCH ST,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 12/11/2016</p>,"<p>Garbage, Parking</p>",-1,-1
1633 ARCH ST #IN-LAW,n/a,n/a,<p>RENTED - Rented or Available since 12/1/2016</p>,<p>(no active services)</p>,0,-1
1635 ARCH ST,n/a,n/a,<p>OOCC - Owner Occupied since 12/11/2016</p>,"<p>Garbage, Laundry Access, Parking</p>",-1,-1
1635 JOSEPHINE ST,6/1/2017,"$4,595.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Heat, Laundry Access, Water</p>",3,7
1637 JOSEPHINE ST,6/1/2017,"$4,168.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Heat, Laundry Access, Water</p>",2,6
1639 JOSEPHINE ST #1,6/1/2017,"$1,068.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Heat, Laundry Access, Water</p>",1,1
1639 JOSEPHINE ST #2,6/1/2017,"$1,216.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Heat, Laundry Access, Water</p>",1,1
1639 JOSEPHINE ST #3,6/1/2017,"$1,050.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Heat, Laundry Access, Water</p>",1,1
1639 JOSEPHINE ST #4,7/1/2012,$738.55,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
1639 JOSEPHINE ST #5,6/1/2012,$705.43,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
1639 JOSEPHINE ST #6,6/1/2017,"$1,114.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Heat, Laundry Access, Water</p>",1,1
1639 JOSEPHINE ST #A,12/31/1995,n/a,<p>NEW - New Construction</p>,<p>(no active services)</p>,-1,-1
2103 EMERSON ST,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,<p>(no active services)</p>,-1,-1
2103 EMERSON ST #STUDIO,n/a,n/a,<p>COMM - Commercial since 2/1/2005</p>,<p>(no active services)</p>,-1,-1
1430 KAINS AVE,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/1998</p>,<p>(no active services)</p>,-1,-1
1432 KAINS AVE,n/a,$618.21,<p>RENTED - Rented or Available since 11/1/1990</p>,<p>(no active services)</p>,0,-1
1116 PAGE ST,5/31/1980,"$1,267.63",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,0,0
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 1/7/2010</p>",<p>(no active services)</p>,-1,-1
2161 VIRGINIA ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/2014</p>,"<p>Garbage, Water</p>",-1,-1
2163 VIRGINIA ST,7/1/2013,"$2,258.77",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,3
2165 VIRGINIA ST,7/1/2013,"$2,258.77",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,2
2167 VIRGINIA ST,8/1/2012,"$2,302.66",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,2
,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
1823 FAIRVIEW ST,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/1997</p>,"<p>Parking, Storage</p>",-1,-1
3140 HARPER ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 1/1/1997</p>,"<p>Garbage, Parking, Water</p>",-1,-1
18 PANORAMIC WAY,6/1/2017,"$2,600.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",0,1
20 PANORAMIC WAY,8/1/1996,"$1,106.06",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",1,0
22 PANORAMIC WAY,1/1/2017,"$3,800.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Other, Water</p>",2,2
24 PANORAMIC WAY,6/5/2017,"$4,000.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",2,2
26 PANORAMIC WAY,8/23/2017,"$2,300.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",2,2
28 PANORAMIC WAY,5/31/1980,"$1,242.53",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",2,0
30 PANORAMIC WAY,6/1/2017,"$4,200.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",3,3
1545 DERBY ST,n/a,n/a,<p>OOCC - Owner Occupied since 2/5/2008</p>,<p>(no active services)</p>,-1,-1
1547 DERBY ST,n/a,n/a,<p>OOCC - Owner Occupied since 2/5/2008</p>,"<p>Appliances, Garbage, Parking</p>",-1,-1
1544 CHANNING WAY,7/15/2004,"$2,043.48",<p>RENTED - Rented or Available</p>,"<p>Appliances, Parking</p>",1,1
1546 CHANNING WAY,7/1/2004,"$2,229.24",<p>RENTED - Rented or Available</p>,"<p>Appliances, Parking</p>",1,3
1548 CHANNING WAY,8/1/2014,"$2,219.78",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking</p>",2,2
2124 CENTER ST #1,9/3/2008,"$1,427.57",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",1,1
2124 CENTER ST #2,2/23/2012,"$1,206.16",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Gas, Heat, Water</p>",1,2
2124 CENTER ST #3,10/25/2011,"$1,226.66",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Gas, Heat, Water</p>",1,1
2124 CENTER ST #4,n/a,$695.50,<p>RENTED - Rented or Available since 12/14/1993</p>,"<p>Garbage, Water</p>",1,-1
2647 CEDAR ST,7/1/2014,"$2,750.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,1
2649 CEDAR ST,n/a,n/a,<p>OOCC - Owner Occupied since 6/10/2000</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Garbage, Parking, Water</p>",-1,-1
1600 63RD ST #A,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2009</p>,<p>(no active services)</p>,-1,-1
1600 63RD ST #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2009</p>,<p>(no active services)</p>,-1,-1
1600 63RD ST #C,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2009</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",-1,-1
