address,rpo
1626 WALNUT ST,1482.495
2318 PRINCE ST,1874.55
1824 MONTEREY AVE,3750.0
1826 WALNUT ST,825.0
1605 WALNUT ST,986.38
1439 JOSEPHINE ST,1026.83
2600 SACRAMENTO ST,759.155
2564 SACRAMENTO ST,1016.12
30 DOMINGO AVE,2004.2149999999997
2678 SACRAMENTO ST,645.08
2720 ELMWOOD AVE,1173.8057142857144
2417 BLAKE ST,1061.019
1425 ALLSTON WAY,3810.68
1132 HEARST AVE,1312.06
1917 FAIRVIEW ST,533.86
1917 BERKELEY WAY,1000.0
1225 ASHBY AVE,795.3071428571429
2283 HEARST AVE,1051.6055263157893
1711 BLAKE ST,866.93
2501 ROSE WALK,3223.75
2131 HEARST AVE,1312.117
1817 DELAWARE ST,1353.7716666666668
1809 FAIRVIEW ST,286.75
2515 DANA ST,1078.271111111111
1542 ARCH ST,2008.36
1345 UNIVERSITY AVE,1217.95
2421 WEBSTER ST,542.9114285714287
1928 MCGEE AVE,1000.0
945 UNIVERSITY AVE,639.375
2658 SACRAMENTO ST,659.3000000000001
1720 HEARST AVE,1072.4716666666666
1202 CARRISON ST,850.2099999999999
1659 JULIA ST,769.18
1536 CARLETON ST,2046.0
2315 BROWNING ST,855.695
2338 TELEGRAPH AVE,765.5645762711869
1522 BERKELEY WAY,660.65
2525 ROSE WALK,1611.875
1102 FRANCISCO ST,2200.0
2343 PRINCE ST,947.875
2424 SPAULDING AVE,1069.135
2219 BLAKE ST,841.5825000000001
2423 BLAKE ST,1004.2495833333334
1518 BONITA AVE,1330.99
1441 OXFORD ST,1100.0
1588 HENRY ST,1367.5846153846153
3028 COLBY ST,978.8000000000001
1339 FRANCISCO ST,797.451111111111
2305 ACTON ST,1257.912857142857
2609 GRANT ST,919.9166666666666
1722 DERBY ST,1014.4949999999999
1349 ROSE ST,1208.1516666666666
2374 EUNICE ST,694.23
2235 BLAKE ST,1006.6999999999999
3050 TELEGRAPH AVE,1698.1300000000006
2522 GRANT ST,942.205
1519 WALNUT ST,1527.2544444444445
2687 MABEL ST,515.305
2508 HILLEGASS AVE,829.0148888888889
1629 OXFORD ST,1057.04
2444 SACRAMENTO ST,1625.0
1650 7TH ST,581.3620000000001
1642 HARMON ST,968.2553846153846
2429 8TH ST,613.2428571428571
1951 ROSE ST,1003.625
2205 HASTE ST,863.0575
2610 HILLEGASS AVE,967.2587142857143
3017 FULTON ST,1260.4975
2918 ELLIS ST,1304.9775
2226 PARKER ST,1012.7700000000001
2566 SACRAMENTO ST,1018.8900000000001
2137 VIRGINIA ST,1700.71
2828 COLLEGE AVE,1521.0745000000002
1618 ALCATRAZ AVE,632.0666666666667
2011 HEARST AVE,1187.6666666666667
2521 COLLEGE AVE,1244.1176470588234
2710 MCGEE AVE,976.3249999999999
2348 CEDAR ST,1353.84
2206 MCKINLEY AVE,898.48
1710 MILVIA ST,809.1479999999999
1029 DELAWARE ST,1528.06
2409 WEBSTER ST,1597.5
1660 OXFORD ST,1000.0
2016 CHANNING WAY,920.7
1439 8TH ST,1172.5
3008 DANA ST,1066.0
1533 WOOLSEY ST,313.635
2832 8TH ST,354.03000000000003
3120 KING ST,1022.66
2732 BENVENUE AVE,1073.7083333333333
1845 BANCROFT WAY,743.925
1114 ADDISON ST,674.315
2123 WEST ST,1078.175
3005 CALIFORNIA ST,1347.72
2920 STANTON ST,932.2733333333332
1723 PARKER ST,1023.0
1631 BANCROFT WAY,1109.956
2320 10TH ST,504.392
1807 ADDISON ST,1063.736153846154
2328 7TH ST,1044.9775
2433 7TH ST,683.0757142857143
1721 SAN PABLO AVE,1590.31
1638 HEARST AVE,1185.0655555555556
2215 CHANNING WAY,890.4618181818181
45 BRET HARTE RD,1198.775
1606 KAINS AVE,982.5
2204 CALIFORNIA ST,1275.73
1020 BANCROFT WAY,1003.625
1627 CEDAR ST,1100.0
1825 FRANCISCO ST,903.3066666666667
1825 DERBY ST,1134.02
1915 BERRYMAN ST,2320.19
2040 ESSEX ST,1981.95
1422 6TH ST,877.2
1342 NORTHSIDE AVE,623.55
1530 FAIRVIEW ST,969.59
1405 CARLETON ST,704.488
1245 BERKELEY WAY,1200.0
2323 PARKER ST,875.3333333333334
2423 ELLSWORTH ST,1019.4575000000001
2311 MCGEE AVE,1950.0
1925 DELAWARE ST,1128.3166666666666
1332 ALCATRAZ AVE,1214.9816666666668
1431 DERBY ST,1172.895
1809 BLAKE ST,944.0783333333334
2503 STUART ST,811.9766666666666
1635 PRINCE ST,452.46400000000006
2682 HILGARD AVE,474.93
2305 WOOLSEY ST,796.645
64 PANORAMIC WAY,1791.5242857142857
2532 ETNA ST,813.2166666666667
1106 CAMELIA ST,892.12
1206 CARLETON ST,1348.83
1843 BANCROFT WAY,1535.1
1140 HEARST AVE,846.5962500000002
1614 UNIVERSITY AVE,979.4665217391305
2625 DANA ST,900.0
1980 CURTIS ST,463.8495238095237
1700 WALNUT ST,1210.55
1793 SPRUCE ST,1900.0
2418 PRINCE ST,863.505
1509 CARLETON ST,849.745
2315 MCGEE AVE,702.542
1246 HEARST AVE,1482.287692307692
1757 BERKELEY WAY,1994.8500000000001
2409 JEFFERSON AVE,881.6033333333334
2438 9TH ST,1027.85
2532 DWIGHT WAY,650.0
2310 ROOSEVELT AVE,1202.5314285714285
2140 ROOSEVELT AVE,1051.7137500000001
2334 CURTIS ST,869.2466666666666
2709 CHANNING WAY,999.8926315789473
1619 CHANNING WAY,892.115
2131 PARKER ST,1309.655
1739 ADDISON ST,1173.760476190476
2549 BENVENUE AVE,999.0
2364 HILGARD AVE,2915.96
1473 UNIVERSITY AVE,849.73
2639 REGENT ST,814.6728571428572
2694 SACRAMENTO ST,1058.2700000000002
1318 SHATTUCK AVE,1443.3225
1327 LA LOMA AVE,792.78
1245 VIRGINIA ST,1808.83
1120 ADDISON ST,685.235
900 CHANNING WAY,485.18
2540 COLLEGE AVE,1000.348870967742
1912 WOOLSEY ST,382.61
1401 8TH ST,752.725
1 PANORAMIC WAY,483.23
1610 WOOLSEY ST,2437.275
1508 PARKER ST,898.6722222222223
1609 BONITA AVE,2103.693333333333
1835 63RD ST,900.24
3028 MABEL ST,1240.8999999999999
943 UNIVERSITY AVE,227.38666666666666
1897 HARMON ST,1004.1833333333334
1705 OXFORD ST,1293.8133333333333
1140 DWIGHT WAY,771.6566666666668
1739 FRANCISCO ST,850.868125
1438 MILVIA ST,1260.98
2120 MCGEE AVE,911.15
2936 MABEL ST,1299.165
1709 UNIVERSITY AVE,1013.9206666666666
2023 PARKER ST,1068.826923076923
2525 STUART ST,1176.0894444444446
2005 LINCOLN ST,955.7466666666666
1826 ALCATRAZ AVE,928.6221052631579
2225 CEDAR ST,792.7799999999999
3068 CLAREMONT AVE,1598.89
1802 10TH ST,1995.0
2731 ASHBY PL,1114.57
1639 STANNAGE AVE,767.5525
1039 CEDAR ST,780.595
2023 CHANNING WAY,750.7352941176471
2654 SACRAMENTO ST,1300.0
1631 OREGON ST,730.3466666666667
1760 SPRUCE ST,849.79
3322 KING ST,679.795
2750 DWIGHT WAY,845.8191525423728
1637 62ND ST,552.565
1422 7TH ST,810.3933333333333
2330 CARLETON ST,620.9649999999999
1330 MILVIA ST,1577.3499999999997
2110 STUART ST,1799.6908333333333
1112 KEELER AVE,1300.395
1534 COMSTOCK CT,1940.71
2418 FULTON ST,854.0
2155 VIRGINIA ST,934.4200000000001
2435 GRANT ST,870.6423529411766
1798 WALNUT ST,1160.5066666666667
2682 SACRAMENTO ST,574.5749999999999
1622 PARKER ST,1283.1512500000001
1439 67TH ST,1350.0
1422 CORNELL AVE,660.03
1431 CHANNING WAY,975.7700000000003
