name,zip,num/range,pattern,company,type,zip+4
Hearst Ave   ,94704,1359,, , H,94702-1400
Hearst Ave   ,94704,1400 to 1498,Even Only, , S,94702-1523
Hearst Ave   ,94704,1401 to 1423,Odd Only, , S,94702-1522
Hearst Ave   ,94704,1411,, , H,94702-1544
Hearst Ave   ,94704,1411,, , H,94702-1544
Hearst Ave   ,94704,1425 to 1499,Odd Only, , S,94702-1532
Haskell St   ,94704,1200 to 1298,Even Only, , S,94702-2414
Haskell St   ,94704,1201,, , H,94702-2455
Haskell St   ,94704,1201,, , H,94702-2455
Haskell St   ,94704,1201 to 1299,Odd Only, , S,94702-2413
Haskell St   ,94704,1217,, , H,94702-2454
Haskell St   ,94704,1217,, , H,94702-2454
Haskell St   ,94704,1218,, , H,94702-2481
Haskell St   ,94704,1218,, , H,94702-2481
Haskell St   ,94704,1236,, , H,94702-2456
Haskell St   ,94704,1236,, , H,94702-2456
Haskell St   ,94704,1238,, , H,94702-2459
Haskell St   ,94704,1238,, , H,94702-2484
Haskell St   ,94704,1238,, , H,94702-2484
Haskell St   ,94704,1300 to 1398,Even Only, , S,94702-2416
Haskell St   ,94704,1301 to 1399,Odd Only, , S,94702-2415
Haskell St   ,94704,1320,, , H,94702-2486
Haskell St   ,94704,1320,, , H,94702-2486
Haskell St   ,94704,1322,, , H,94702-2487
Haskell St   ,94704,1322,, , H,94702-2487
Harmon St   ,94704,1300 to 1398,Even Only, , S,94702-2610
Harmon St   ,94704,1301 to 1315,Odd Only, , S,94702-2609
Harmon St   ,94704,1317 to 1399,Odd Only, , S,94702-2625
Harmon St   ,94704,1379,, , H,94702-2628
Harmon St   ,94704,1379,, , H,94702-2628
Harmon St   ,94704,1400 to 1498,Even Only, , S,94702-2718
Harmon St   ,94704,1401 to 1499,Odd Only, , S,94702-2717
Harmon St   ,94704,1414,, , H,94702-2752
Harmon St   ,94704,1414,, , H,94702-2752
Harmon St   ,94704,1416,, , H,94702-2753
Harmon St   ,94704,1416,, , H,94702-2753
Harmon St   ,94704,1418,, , H,94702-2754
Harmon St   ,94704,1418,, , H,94702-2754
Franklin St   ,94704,1600 to 1698,Even Only, , S,94702-1424
Franklin St   ,94704,1601 to 1699,Odd Only, , S,94702-1423
Franklin St   ,94704,1700 to 1738,Even Only, , S,94702-1413
Franklin St   ,94704,1701 to 1727,Odd Only, , S,94702-1412
Franklin St   ,94704,1729 to 1799,Odd Only, , S,94702-1441
Franklin St   ,94704,1740 to 1798,Even Only, , S,94702-1442
Franklin St   ,94704,1800 to 1898,Even Only, , S,94702-1415
Franklin St   ,94704,1801 to 1899,Odd Only, , S,94702-1414
Francisco St   ,94704,1100 to 1198,Even Only, , S,94702-1333
Francisco St   ,94704,1101 to 1199,Odd Only, , S,94702-1332
Francisco St   ,94704,1108,, , H,94702-1364
Francisco St   ,94704,1108,, , H,94702-1364
Francisco St   ,94704,1110,, , H,94702-1363
Francisco St   ,94704,1110,, , H,94702-1363
Francisco St   ,94704,1114,, , H,94702-1300
Francisco St   ,94704,1114,, , H,94702-1300
Francisco St   ,94704,1132,, , H,94702-1351
Francisco St   ,94704,1132,, , H,94702-1351
Francisco St   ,94704,1200 to 1240,Even Only, , S,94702-1335
Francisco St   ,94704,1201 to 1239,Odd Only, , S,94702-1334
Francisco St   ,94704,1214,, , H,94702-1365
Francisco St   ,94704,1214,, , H,94702-1365
Francisco St   ,94704,1241 to 1299,Odd Only, , S,94702-1466
Francisco St   ,94704,1242 to 1298,Even Only, , S,94702-1465
Francisco St   ,94704,1245,, , H,94702-1487
Francisco St   ,94704,1245,, , H,94702-1487
Francisco St   ,94704,1257,, , H,94702-1463
Francisco St   ,94704,1257,, , H,94702-1463
Francisco St   ,94704,1300 to 1356,Even Only, , S,94702-1411
Francisco St   ,94704,1301 to 1359,Odd Only, , S,94702-1410
Francisco St   ,94704,1339,, , H,94702-1447
Francisco St   ,94704,1339,, , H,94702-1447
Francisco St   ,94704,1358 to 1398,Even Only, , S,94702-1440
Francisco St   ,94704,1361 to 1399,Odd Only, , S,94702-1439
Fairview St   ,94704,1400 to 1498,Even Only, , S,94702-2716
Fairview St   ,94704,1401 to 1499,Odd Only, , S,94702-2715
Fairview St   ,94704,1405,, , H,94702-2756
Fairview St   ,94704,1405,, , H,94702-2756
Evelyn Ave   ,94704,1300 to 1398,Even Only, , S,94702-1012
Evelyn Ave   ,94704,1301 to 1399,Odd Only, , S,94702-1011
Edwards St   ,94704,2300 to 2398,Even Only, , S,94702-2124
Edwards St   ,94704,2301 to 2399,Odd Only, , S,94702-2123
Edwards St   ,94704,2400 to 2498,Even Only, , S,94702-2126
Edwards St   ,94704,2401 to 2499,Odd Only, , S,94702-2125
Dwight Way   ,94704,1100 to 1198,Even Only, , S,94702-2005
Dwight Way   ,94704,1111 to 1199,Odd Only, , S,94702-2040
Dwight Way   ,94704,1114,, , H,94702-2066
Dwight Way   ,94704,1114,, , H,94702-2066
Dwight Way   ,94704,1116,, , H,94702-2067
Dwight Way   ,94704,1116,, , H,94702-2067
Dwight Way   ,94704,1118,, , H,94702-2068
Dwight Way   ,94704,1118,, , H,94702-2068
Dwight Way   ,94704,1118,, , H,94702-2069
Dwight Way   ,94704,1124,, , H,94702-2044
Dwight Way   ,94704,1124,, , H,94702-2044
Dwight Way   ,94704,1140,, , H,94702-2070
Dwight Way   ,94704,1140,, , H,94702-2070
Dwight Way   ,94704,1200 to 1298,Even Only, , S,94702-2007
Dwight Way   ,94704,1201 to 1221,Odd Only, , S,94702-2006
Dwight Way   ,94704,1223 to 1299,Odd Only, , S,94702-2059
Dwight Way   ,94704,1300 to 1398,Even Only, , S,94702-2120
Dwight Way   ,94704,1301 to 1341,Odd Only, , S,94702-2119
Dwight Way   ,94704,1315,, , H,94702-2145
Dwight Way   ,94704,1315,, , H,94702-2160
Dwight Way   ,94704,1321,, , H,94702-2144
Dwight Way   ,94704,1321,, , H,94702-2159
Dwight Way   ,94704,1322,, , H,94702-2148
Dwight Way   ,94704,1322,, , H,94702-2148
Dwight Way   ,94704,1343 to 1399,Odd Only, , S,94702-2154
Dwight Way   ,94704,1400 to 1498,Even Only, , S,94702-2122
Dwight Way   ,94704,1401 to 1421,Odd Only, , S,94702-2121
Dwight Way   ,94704,1423 to 1443,Odd Only, , S,94702-2155
Dwight Way   ,94704,1429,, , H,94702-2162
Dwight Way   ,94704,1429,, , H,94702-2162
Dwight Way   ,94704,1429,, , H,94702-2162
Dwight Way   ,94704,1433,, , H,94702-2147
Dwight Way   ,94704,1433,, , H,94702-2147
Dwight Way   ,94704,1445 to 1451,Odd Only, , S,94702-2146
Dwight Way   ,94704,1453 to 1499,Odd Only, , S,94702-2156
Dohr St   ,94704,2700 to 2798,Even Only, , S,94702-2313
Dohr St   ,94704,2701 to 2799,Odd Only, , S,94702-2312
Dohr St   ,94704,2800 to 2898,Even Only, , S,94702-2518
Dohr St   ,94704,2801 to 2899,Odd Only, , S,94702-2517
Dohr St   ,94704,2900 to 2998,Even Only, , S,94702-2506
Dohr St   ,94704,2901 to 2999,Odd Only, , S,94702-2505
Dohr St   ,94704,2915,, , H,94702-2536
Dohr St   ,94704,2915,, , H,94702-2536
Dohr St   ,94704,2922,, , H,94702-2568
Dohr St   ,94704,2922,, , H,94702-2568
Dohr St   ,94704,2945,, , H,94702-2535
Dohr St   ,94704,2945,, , H,94702-2535
